Model,Dataset,Repetition,Time [s],MSE,MAE,R2,Accuracy,Precision,Recall,F1,ROC AUC
mlp,4,4,90.01810646057129,nan,nan,nan,0.8001850138760407,0.9053254437869822,0.8010471204188482,0.8499999999999999,0.7995771879696766
mlp,4,5,198.47333121299744,nan,nan,nan,0.816836262719704,0.8866120218579235,0.849476439790576,0.8676470588235294,0.7938233933968654
mlp,5,1,191.89404129981995,0.5192607045173645,0.5630205869674683,0.3315652590482381,nan,nan,nan,nan,nan
mlp,5,2,106.20461583137512,0.5266358256340027,0.569497287273407,0.27604063645064647,nan,nan,nan,nan,nan
mlp,5,3,207.94480633735657,0.5749573111534119,0.583327054977417,0.3023845583911382,nan,nan,nan,nan,nan
mlp,5,4,178.4085853099823,0.530513346195221,0.5794520974159241,0.2763050955185411,nan,nan,nan,nan,nan
mlp,5,5,121.31631851196289,0.5074054598808289,0.5559099912643433,0.3056213918326476,nan,nan,nan,nan,nan
neumiss,1,1,756.4745616912842,25.07293701171875,3.857879400253296,0.4669756490940187,nan,nan,nan,nan,nan
neumiss,1,2,484.32146883010864,144.86216735839844,9.22724723815918,-2.410623704489758,nan,nan,nan,nan,nan
neumiss,1,3,305.89901065826416,44.44508361816406,5.080759048461914,-0.07503760642244739,nan,nan,nan,nan,nan
neumiss,1,4,1045.983862876892,19.271987915039062,3.3476390838623047,0.5359127657569009,nan,nan,nan,nan,nan
neumiss,1,5,452.69537329673767,59.81813049316406,6.141334056854248,-0.18849679156658206,nan,nan,nan,nan,nan
neumiss,2,1,57.020435094833374,nan,nan,nan,0.7029520295202952,0.7007299270072993,0.7084870848708487,0.7045871559633028,0.7029520295202951
neumiss,2,2,55.64987564086914,nan,nan,nan,0.7038745387453874,0.6976744186046512,0.7195571955719557,0.7084468664850135,0.7038745387453874
neumiss,2,3,58.84438753128052,nan,nan,nan,0.7066420664206642,0.7137404580152672,0.6900369003690037,0.701688555347092,0.7066420664206642
neumiss,2,4,61.37495040893555,nan,nan,nan,0.6974169741697417,0.6952554744525548,0.7029520295202952,0.6990825688073395,0.6974169741697418
neumiss,2,5,60.47724771499634,nan,nan,nan,0.690959409594096,0.6871609403254972,0.7011070110701108,0.6940639269406392,0.690959409594096
neumiss,3,1,24.422204971313477,nan,nan,nan,0.6923736075407027,0.6891891891891891,0.6998284734133791,0.6944680851063829,0.6923799901313472
neumiss,3,2,29.6886043548584,nan,nan,nan,0.6872322193658955,0.696588868940754,0.6643835616438356,0.6801051709027169,0.6872518151272351
neumiss,3,3,39.29536175727844,nan,nan,nan,0.6692373607540703,0.671280276816609,0.6643835616438356,0.6678141135972462,0.6692415235320379
neumiss,3,4,37.61553168296814,nan,nan,nan,0.6726649528706083,0.6771929824561403,0.660958904109589,0.6689774696707105,0.6726749923635424
neumiss,3,5,29.3920316696167,nan,nan,nan,0.662382176520994,0.669051878354204,0.6415094339622641,0.6549912434325744,0.662364306022228
neumiss,4,1,505.4908514022827,nan,nan,nan,0.8103607770582794,0.8876560332871013,0.837696335078534,0.8619528619528619,0.7910879151733364
neumiss,4,2,387.9766275882721,nan,nan,nan,0.7927844588344126,0.8924418604651163,0.8036649214659686,0.8457300275482094,0.785113217830776
neumiss,4,3,488.28931307792664,nan,nan,nan,0.793709528214616,0.865047233468286,0.8390052356020943,0.851827242524917,0.7617739111764414
neumiss,4,4,694.860226392746,nan,nan,nan,0.8214616096207216,0.8948824343015215,0.8468586387434555,0.8702084734364492,0.8035555023370273
neumiss,4,5,462.3840878009796,nan,nan,nan,0.8112858464384829,0.8645833333333334,0.8691099476439791,0.8668407310704961,0.7705171189323997
neumiss,5,1,254.3033628463745,0.5498623251914978,0.5829498171806335,0.2921722741416284,nan,nan,nan,nan,nan
neumiss,5,2,236.4369113445282,0.5547369122505188,0.59208083152771,0.23741050946392606,nan,nan,nan,nan,nan
neumiss,5,3,240.47029542922974,0.6333122849464417,0.6193434596061707,0.2315805098737045,nan,nan,nan,nan,nan
neumiss,5,4,312.8466000556946,0.5037044286727905,0.5600171089172363,0.3128762112067657,nan,nan,nan,nan,nan
neumiss,5,5,273.15350222587585,0.5299115777015686,0.5693720579147339,0.2748219686028053,nan,nan,nan,nan,nan
